Nombre|(º-º)|Plataforma|(º-º)|Año|(º-º)|Genero|(º-º)|Editorial|(º-º)|Ventas NA|(º-º)|Ventas EU|(º-º)|Ventas JP|(º-º)|Ventas Otros|(º-º)|Ventas Global
Wii Sports|(º-º)|Wii|(º-º)|2006|(º-º)|Sports|(º-º)|Nintendo|(º-º)|41,49|(º-º)|29,02|(º-º)|3,77|(º-º)|8,46|(º-º)|82,74
Super Mario Bros.|(º-º)|NES|(º-º)|1985|(º-º)|Platform|(º-º)|Nintendo|(º-º)|29,08|(º-º)|3,58|(º-º)|6,81|(º-º)|0,77|(º-º)|40,24
Mario Kart Wii|(º-º)|Wii|(º-º)|2008|(º-º)|Racing|(º-º)|Nintendo|(º-º)|15,85|(º-º)|12,88|(º-º)|3,79|(º-º)|3,31|(º-º)|35,82
Wii Sports Resort|(º-º)|Wii|(º-º)|2009|(º-º)|Sports|(º-º)|Nintendo|(º-º)|15,75|(º-º)|11,01|(º-º)|3,28|(º-º)|2,96|(º-º)|33
Pokemon Red/Pokemon Blue|(º-º)|GB|(º-º)|1996|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|11,27|(º-º)|8,89|(º-º)|10,22|(º-º)|1|(º-º)|31,37
Tetris|(º-º)|GB|(º-º)|1989|(º-º)|Puzzle|(º-º)|Nintendo|(º-º)|23,2|(º-º)|2,26|(º-º)|4,22|(º-º)|0,58|(º-º)|30,26
New Super Mario Bros.|(º-º)|DS|(º-º)|2006|(º-º)|Platform|(º-º)|Nintendo|(º-º)|11,38|(º-º)|9,23|(º-º)|6,5|(º-º)|2,9|(º-º)|30,01
Wii Play|(º-º)|Wii|(º-º)|2006|(º-º)|Misc|(º-º)|Nintendo|(º-º)|14,03|(º-º)|9,2|(º-º)|2,93|(º-º)|2,85|(º-º)|29,02
New Super Mario Bros. Wii|(º-º)|Wii|(º-º)|2009|(º-º)|Platform|(º-º)|Nintendo|(º-º)|14,59|(º-º)|7,06|(º-º)|4,7|(º-º)|2,26|(º-º)|28,62
Duck Hunt|(º-º)|NES|(º-º)|1984|(º-º)|Shooter|(º-º)|Nintendo|(º-º)|26,93|(º-º)|0,63|(º-º)|0,28|(º-º)|0,47|(º-º)|28,31
Nintendogs|(º-º)|DS|(º-º)|2005|(º-º)|Simulation|(º-º)|Nintendo|(º-º)|9,07|(º-º)|11|(º-º)|1,93|(º-º)|2,75|(º-º)|24,76
Mario Kart DS|(º-º)|DS|(º-º)|2005|(º-º)|Racing|(º-º)|Nintendo|(º-º)|9,81|(º-º)|7,57|(º-º)|4,13|(º-º)|1,92|(º-º)|23,42
Pokemon Gold/Pokemon Silver|(º-º)|GB|(º-º)|1999|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|9|(º-º)|6,18|(º-º)|7,2|(º-º)|0,71|(º-º)|23,1
